preprocessing,background_removal_enabled,score_threshold,margin_threshold,n_total,n_known,n_unknown,top1_known,top3_known,top5_known,unknown_rejection,overall_accuracy,approval_rate
bg_removed,True,0.31,0.115,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.25287356321839083,0.09195402298850575
bg_removed,True,0.31,0.12,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.21839080459770116,0.05747126436781609
bg_removed,True,0.31,0.125,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.21839080459770116,0.05747126436781609
bg_removed,True,0.31,0.13,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.31,0.135,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.31,0.14,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.31,0.145,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.31,0.15,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.31,0.155,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.31,0.16,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.31,0.165,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.31,0.17,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.31,0.17500000000000002,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.31,0.18,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
